overall_rank,pos_rank,player,position,team,games_left,expected_games_played,rest_of_season_points,points_per_active_game,points_per_scheduled_game,p10,p50,p90,adp_rank
534,116,Tip Reiman,TE,ARI,15.0,2.4,8.006,3.336,0.534,0.0,0.91,24.863,
535,117,E.J. Jenkins,TE,PHI,15.0,3.564,7.928,2.224,0.529,0.0,0.558,23.357,
536,118,Moliki Matavao,TE,NO,15.0,3.034,7.899,2.604,0.527,0.0,1.128,25.171,
537,199,Corey Rucker,WR,LV,15.0,2.35,7.89,3.357,0.526,0.0,0.305,24.619,
538,119,Carson Towt,TE,IND,15.0,2.35,7.879,3.352,0.525,0.0,2.939,21.072,
539,200,Chris Brazzell II,WR,CAR,15.0,2.35,7.868,3.348,0.525,0.0,0.646,24.859,
540,201,CJ Daniels,WR,LA,15.0,2.35,7.846,3.338,0.523,0.0,0.198,24.8,
541,130,Max Bredeson,RB,MIN,15.0,2.35,7.84,3.335,0.523,0.0,0.0,24.559,
542,202,Skyler Bell,WR,BUF,15.0,2.35,7.819,3.327,0.521,0.0,0.336,25.124,
543,131,Myles Montgomery,RB,NE,15.0,2.35,7.814,3.324,0.521,0.0,0.128,25.053,
544,120,Cole Turner,TE,MIA,15.0,3.004,7.787,2.593,0.519,0.0,0.073,24.558,
545,132,Riley Nowakowski,RB,PIT,15.0,2.35,7.786,3.312,0.519,0.144,3.26,20.619,
546,121,Thomas Odukoya,TE,KC,15.0,2.35,7.771,3.306,0.518,0.0,2.457,21.417,
547,203,Camden Brown,WR,DAL,15.0,2.35,7.758,3.301,0.517,0.221,3.25,20.556,
548,122,Chris Manhertz,TE,NYG,15.0,4.56,7.751,1.7,0.517,0.0,0.314,25.327,
549,204,Tory Horton,WR,SEA,15.0,3.186,7.699,2.417,0.513,0.0,0.0,23.956,
550,123,Caleb Lohner,TE,DEN,15.0,2.35,7.679,3.267,0.512,0.0,2.328,21.568,
551,205,C.J. Williams,WR,JAX,15.0,2.35,7.651,3.255,0.51,0.0,0.337,23.565,
552,206,Jeshaun Jones,WR,MIN,15.0,3.819,7.634,1.999,0.509,0.0,0.657,23.457,
553,124,John Michael Gyllenborg,TE,KC,15.0,2.35,7.618,3.241,0.508,0.0,2.456,22.216,
554,125,Robert Tonyan,TE,PIT,15.0,3.557,7.613,2.141,0.508,0.0,2.804,21.604,
555,126,Will Mallory,TE,IND,15.0,3.565,7.56,2.121,0.504,0.0,0.14,24.058,
556,127,Joe Royer,TE,CLE,15.0,2.35,7.543,3.209,0.503,0.039,3.053,21.004,
557,128,Max Klare,TE,LA,15.0,2.35,7.511,3.196,0.501,0.0,2.846,20.478,
558,207,Beaux Collins,WR,ATL,15.0,2.033,7.455,3.667,0.497,0.0,2.407,21.273,
559,129,Jameson Geers,TE,ARI,15.0,2.35,7.418,3.156,0.495,0.0,2.481,20.76,
560,130,Jackson Meeks,TE,DET,15.0,2.35,7.403,3.15,0.494,0.0,2.409,21.063,
561,208,Brock Rechsteiner,WR,NO,15.0,2.35,7.394,3.146,0.493,0.0,3.029,19.143,
562,131,Hayden Rucci,TE,LAC,15.0,2.65,7.378,2.784,0.492,0.0,2.105,21.805,
563,132,Treyton Welch,TE,NO,15.0,4.324,7.33,1.695,0.489,0.0,1.885,22.396,
564,133,Hayden Large,TE,CHI,15.0,2.35,7.326,3.117,0.488,0.0,2.367,20.614,
565,209,Simi Fehoko,WR,ARI,15.0,4.459,7.318,1.641,0.488,0.0,0.0,23.917,
566,133,Trey Sermon,RB,ATL,15.0,4.953,7.29,1.472,0.486,0.0,0.26,22.951,
567,134,Brittain Brown,RB,CHI,15.0,3.09,7.217,2.335,0.481,0.0,2.139,21.216,
568,134,Jack Endries,TE,CIN,15.0,2.35,7.124,3.031,0.475,0.0,2.484,19.805,
569,135,Dallen Bentley,TE,DEN,15.0,2.35,7.121,3.03,0.475,0.0,2.185,21.409,
570,136,Ko Kieft,TE,TB,15.0,2.429,6.934,2.855,0.462,0.0,1.934,21.055,
