overall,player_name,team,position,adp_rank,adp_drafted,projection,p10,p50,p90,model_only,projected_games,suspended_games,snap_share,pass_attempt_share,target_share,carry_share,pass_attempts,targets,carries,completion_rate,yards_per_attempt,pass_td_rate,pass_int_rate,catch_rate,yards_per_target,rec_td_rate,yards_per_carry,rush_td_rate,fumble_rate,fumble_lost_rate,pass_cmp,pass_yds,pass_td,pass_int,receptions,rec_yds,rec_td,rush_yds,rush_td,fumbles_lost,position_rank
38,Ashton Jeanty,LV,RB,21.0,1.0,212.83595341821606,96.19202720440626,213.0684719978353,333.28966692814885,250.34960000000004,14.52525,0.0,0.5509049638645848,0.0,0.1327541536359912,0.5771554636458511,0.0,67.5545,239.906,,,,,0.7862234149054557,5.724928628442246,0.03685761017481171,4.199058770982194,0.031403542991989164,0.006135208105240641,0.0030621789324643796,0.0,0.0,0.0,0.0,53.07675,386.838,2.4395,1006.9455,7.52525,0.947,8
39,Derrick Henry,BAL,RB,16.0,1.0,211.65923643324695,87.12241248156377,217.82194354375105,327.9291677259073,214.75055,14.59025,0.0,0.3710599994630704,0.0,0.04582936758371935,0.543906775112054,0.0,21.06175,283.12625,,,,,0.7775203253671704,5.665747787100287,0.03117272077581017,4.34544447724646,0.03697891652499835,0.009740317643667966,0.004861545846908358,0.0,0.0,0.0,0.0,16.36075,119.125,0.63625,1229.708,10.44075,1.47775,9
40,Emeka Egbuka,TB,WR,36.0,1.0,210.27652955953556,104.49000000000001,213.35486837550857,309.81919045445306,230.86385,14.65725,0.0,0.6252790920513128,0.0,0.24666568258667906,0.002879394636518588,0.0,136.55825,1.29625,,,,,0.5783510994895367,8.210335991214965,0.04871274268275545,5.302713566398114,0.033301333130389285,0.003551842829998999,0.0017727806618584119,0.0,0.0,0.0,0.0,78.86325,1120.05125,6.5965,6.49975,0.04375,0.248,13
41,Sam Darnold,SEA,QB,158.0,1.0,210.08895774025825,103.36000000000001,219.14,296.92493030955444,213.47688,14.9105,0.0,0.7938186890245902,0.8795600185480528,0.0,0.07910158604978318,446.29875,0.0,37.541,0.6566435081683032,7.48780041242818,0.0460356606848332,0.019246434074005274,,,,3.664530061633055,0.042311633936041884,0.017057581485530184,0.008513707402878103,293.31275,3339.48325,20.58025,8.625,0.0,0.0,0.0,136.4255,1.579,4.145,19
42,A.J. Brown,NE,WR,17.0,1.0,208.74225353313062,84.73722480779352,213.1877081182265,315.01,177.18252500000003,13.7435,0.0,0.5781558110528274,0.0,0.20771032771619774,0.003970694875515578,0.0,102.67975,1.907,,,,,0.6245676026330259,7.902013969882471,0.050907574948018425,5.145072846001269,0.02738616415501886,0.003628385929433776,0.001810984527561759,0.0,0.0,0.0,0.0,64.0035,809.6195,5.2245,9.25575,0.05375,0.189,14
43,Tyler Shough,NO,QB,147.0,1.0,208.6248005803697,94.03800000000001,220.8,302.00805673115866,189.741565,15.39325,0.0,0.7256723698368723,0.6766496290650522,0.0,0.12751245932149916,381.40175,0.0,59.00875,0.6441124364071505,7.084604375256916,0.0381573209857583,0.01815872107862158,,,,4.257374897221756,0.04597135713606352,0.009571877170655822,0.004777474555603417,245.98475,2699.26225,14.62175,6.86175,0.0,0.0,0.0,248.67075,2.72475,2.104,20
44,Trey McBride,ARI,TE,29.0,1.0,206.01270507217288,91.54022570642513,199.61139255905496,313.91999999999996,245.44590000000002,14.749,0.0,0.6473015919311584,0.0,0.24542275657263674,0.00038043219664802007,0.0,135.94125,0.15825,,,,,0.7190500768994391,7.5045251372521005,0.0570702657254679,4.199643816309221,0.0509993567643897,0.0052772343687314685,0.0026339507362110296,0.0,0.0,0.0,0.0,97.7255,1018.985,7.73325,0.654,0.0095,0.35,1
45,Malik Nabers,NYG,WR,26.0,1.0,205.91513818195958,83.35000000000002,216.62669557200064,305.33280386997865,186.911925,12.92975,0.0,0.47615427051523407,0.0,0.2119378150834271,0.004369314664148877,0.0,108.26575,2.06275,,,,,0.5880464901225521,8.301063511882123,0.050292792323347914,5.18780892821872,0.03471406676102299,0.004677250066348904,0.0023344891272403644,0.0,0.0,0.0,0.0,63.71625,896.81275,5.42425,10.659,0.07175,0.26375,15
46,Tetairoa McMillan,CAR,WR,31.0,1.0,202.02543158075034,97.31600057859359,211.0711164049828,294.0810258964758,196.24442499999998,14.6405,0.0,0.6873770943734332,0.0,0.22656371645812437,0.0105158424837471,0.0,110.78775,4.91575,,,,,0.6099908287886885,8.29370114850435,0.05101920622836525,4.784534123608043,0.02822868660785384,0.003648670918318628,0.0018211090847964854,0.0,0.0,0.0,0.0,67.69525,917.62375,5.6835,22.658,0.1375,0.2025,16
47,Saquon Barkley,PHI,RB,18.0,1.0,201.43285438702384,88.53152800216472,208.70000000000002,312.7756343292026,198.636275,14.4625,0.0,0.570658118335415,0.0,0.07690296120419113,0.4670730605345743,0.0,38.099,232.33025,,,,,0.7797815885952414,5.752249140403228,0.03334464532488373,4.2747731988289415,0.029401156231758593,0.004541445405496976,0.0022667068834667558,0.0,0.0,0.0,0.0,29.69075,218.21725,1.2765,994.318,6.88175,0.62875,10
48,Kyler Murray,MIN,QB,142.0,1.0,199.4109736310771,70.12600000000002,210.21855749686833,304.4456719845347,150.08553999999998,13.509,0.0,0.6633912872323494,0.4638987800137071,0.0,0.15935654672986058,242.969,0.0,71.32425,0.6577997908938032,6.793703704604605,0.03856633543082542,0.01934866750188813,,,,5.024162517703781,0.053429062937026234,0.009017773807778379,0.004500912845697992,159.499,1650.946,9.36525,4.75675,0.0,0.0,0.0,358.617,3.84,1.40075,21
49,Daniel Jones,IND,QB,191.0,1.0,198.1376149419538,70.492,201.7001190649365,299.0902536902798,212.91110500000002,14.43525,0.0,0.7486820616066853,0.7357462446394063,0.0,0.13371973893868833,398.0135,0.0,62.26275,0.655912672752718,7.468785374075798,0.044671389555245924,0.0189144929660484,,,,4.139841631037739,0.051898964062999126,0.016280562845652553,0.008125885169573096,261.20975,2961.54575,17.9485,7.476,0.0,0.0,0.0,256.01275,3.24325,3.72675,22
50,C.J. Stroud,HOU,QB,197.0,1.0,194.67279629524148,81.91041764216193,194.39999999999998,296.9115217203078,215.66421,14.85275,0.0,0.7941403513577757,0.741271527958791,0.0,0.13629652304201692,413.04825,0.0,62.737,0.6440382213640202,7.140017312854179,0.04392738627712364,0.02017915968372684,,,,4.460525900397552,0.04462878395727823,0.006878262388699198,0.003433049020887397,266.0115,2955.88775,18.1295,8.33725,0.0,0.0,0.0,278.117,2.836,1.62125,23
51,Kenneth Walker III,KC,RB,23.0,1.0,193.087360470041,72.95000000000002,200.09860261229696,301.9368240080162,194.437475,13.928,0.0,0.43996769350590376,0.0,0.06767693611025614,0.5038401257358691,0.0,36.26475,221.196,,,,,0.8107569747098359,5.948753071834864,0.0301007564313076,4.376928920739524,0.031559366791048295,0.005217949884217495,0.002604360916862338,0.0,0.0,0.0,0.0,29.3685,214.2995,1.09525,966.17025,6.962,0.66075,11
52,Ladd McConkey,LAC,WR,40.0,1.0,192.7886634237003,95.20000000000005,196.6600705721357,281.5650253178822,186.36530000000002,14.7,0.0,0.6224904222587411,0.0,0.1962184145034555,0.004369641197309455,0.0,107.05775,2.01775,,,,,0.6319945612144069,7.927150767199465,0.05103009425205471,4.740426177305297,0.02750699984472929,0.0037992877201163313,0.0018962843012567264,0.0,0.0,0.0,0.0,67.688,847.955,5.509,9.228,0.054,0.2095,17
53,Brock Bowers,LV,TE,35.0,1.0,192.00640451014505,92.54000000000002,190.2315609644322,301.79356204169915,224.653175,14.39075,0.0,0.6176146994599974,0.0,0.23894084552094363,0.0006442268388139221,0.0,121.75725,0.2635,,,,,0.7236963990731088,7.734725695152342,0.05933262881158359,3.115666005661598,0.08996735148430728,0.0065136089836636815,0.0032510447668511987,0.0,0.0,0.0,0.0,88.21325,941.432,7.149,0.68725,0.022,0.399,2
54,Tee Higgins,CIN,WR,37.0,1.0,191.77913742838808,80.58,199.30207100868225,285.2851946106225,177.00615000000002,14.16775,0.0,0.5095636287896548,0.0,0.1798553426449094,0.0074546636574228985,0.0,98.72525,3.04675,,,,,0.6047476543401369,8.209170295918653,0.058565825308068385,5.155202993269899,0.02830003657483629,0.0038964067695535115,0.001944757947468249,0.0,0.0,0.0,0.0,59.65675,811.80525,5.77625,14.44375,0.076,0.1945,18
55,DeVonta Smith,PHI,WR,30.0,1.0,191.38532651313182,76.47000000000001,198.9,294.1985665684986,153.082075,14.44375,0.0,0.6617721019276867,0.0,0.1770218937801922,0.004820982036202132,0.0,87.72825,2.4205,,,,,0.6354269206169247,8.217697037742898,0.04671216305062489,5.151824373907702,0.027205958512341588,0.0037481876295587927,0.001870779441752669,0.0,0.0,0.0,0.0,55.787,717.028,4.05825,12.18775,0.0635,0.1785,19
56,Terry McLaurin,WAS,WR,49.0,1.0,190.41857798855537,76.29184873019433,196.21035638091521,287.37441919939477,189.4146,14.27475,0.0,0.4871648826855261,0.0,0.22526455954995953,0.00399690220933516,0.0,108.11875,1.82475,,,,,0.6100603221570734,8.336467624756995,0.049435580223045734,5.008203020892301,0.029911032982066182,0.004395402763446823,0.002193814702133018,0.0,0.0,0.0,0.0,66.14525,901.5385,5.3945,8.79,0.05825,0.24,20
57,Kyren Williams,LAR,RB,32.0,1.0,188.12092722429875,82.53274555341497,188.7315280021647,291.13,203.81477500000003,14.51075,0.0,0.5402692719669985,0.0,0.07412773059130856,0.4843729228967169,0.0,39.25925,224.9115,,,,,0.7544262476773949,5.77934114913458,0.03524499349353464,4.256327885905287,0.036426187794226135,0.0065073939148145785,0.003247942728164478,0.0,0.0,0.0,0.0,29.6825,225.852,1.386,957.85075,8.1915,0.8515,12
