Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
481,Jazz Ferguson,WR149,380,,,,,,380.0
482,Corey Clement,RB119,,,,,,381,381.0
483,David Blough,QB62,383,,,,,,383.0
484,Pharoh Cooper,WR150,384,,,,,,384.0
485,Tim Tebow,TE72,,,,,,385,385.0
486,Ryan Griffin,TE73,385,,,,,,385.0
487,Nick Fitzgerald,QB63,387,,,,,,387.0
488,Blaine Gabbert,QB64,388,,,,,,388.0
489,Cedrick Wilson Jr.   DET (5),WR151,389,,,,,,389.0
490,Tim Patrick   NYJ (10),WR152,390,,,,,,390.0
491,Chandler Cox,RB120,391,,,,,,391.0
492,Michael Crabtree,WR153,392,,,,,,392.0
493,Nick Vannett   SEA (6),TE74,393,,,,,,393.0
494,Ameer Abdullah   JAC (8),RB121,394,,,,,,394.0
495,Brett Maher,K48,395,,,,,,395.0
496,Joshua Dobbs   DET (5),QB65,396,,,,,,396.0
497,Charles Jones,TE75,397,,,,,,397.0
498,Deon Yelder,TE76,398,,,,,,398.0
499,Marcus Kemp,WR154,399,,,,,,399.0
500,Foster Moreau   HOU (8),TE77,400,,,,,,400.0
501,DeAndrew White,WR155,402,,,,,,402.0
502,Chris Manhertz   NYG (11),TE78,403,,,,,,403.0
503,C.J. Ham,RB122,404,,,,,,404.0
504,LeVante Bellamy,RB123,405,,,,,,405.0
505,Jay Ajayi,RB124,406,,,,,,406.0
506,Noah Brown   LV (6),WR156,407,,,,,,407.0
507,Josh Adams,RB125,408,,,,,,408.0
508,Chad Henne,QB66,409,,,,,,409.0
509,Chandler Catanzaro,K49,410,,,,,,410.0
510,Austin Walter,RB126,411,,,,,,411.0
511,Andy Jones,WR157,412,,,,,,412.0
512,Trace McSorley,QB67,413,,,,,,413.0
513,Tim Boyle,QB68,414,,,,,,414.0
514,Brycen Hopkins,TE79,415,,,,,,415.0
515,Stephen Sullivan,TE80,416,,,,,,416.0
516,Travis Homer   PIT (4),RB127,417,,,,,,417.0
517,Ryan Griffin,QB69,418,,,,,,418.0
518,Caleb Sturgis,K50,420,,,,,,420.0
519,Zach Gentry,TE81,421,,,,,,421.0
520,Andy Janovich,RB128,422,,,,,,422.0
521,Samaje Perine   CIN (9),RB129,423,,,,,,423.0
522,Olamide Zaccheaus   ATL (10),WR158,424,,,,,,424.0
523,Matt Cassel,QB70,425,,,,,,425.0
524,Patrick DiMarco,RB130,426,,,,,,426.0
525,Jacquizz Rodgers,RB131,430,,,,,,430.0
526,Chad Beebe,WR159,432,,,,,,432.0
527,Zay Jones,WR160,433,,,,,,433.0
528,Doug Martin,RB132,434,,,,,,434.0
529,Kalen Ballage,RB133,435,,,,,,435.0
530,Ty Johnson   BUF (11),RB134,436,,,,,,436.0
531,Tyler Ervin,RB135,438,,,,,,438.0
532,Elijah Holyfield,RB136,439,,,,,,439.0
533,Devlin Hodges,QB71,440,,,,,,440.0
534,Tyler Kroft,TE82,442,,,,,,442.0
535,Tyrie Cleveland,WR161,443,,,,,,443.0
536,D'Onta Foreman,RB137,444,,,,,,444.0
537,Corey Coleman,WR162,445,,,,,,445.0
538,James Proche II,WR163,446,,,,,,446.0
539,Brock Osweiler,QB72,447,,,,,,447.0
540,Ryan Izzo,TE83,448,,,,,,448.0
541,Keke Coutee,WR164,449,,,,,,449.0
542,Malcolm Perry,WR165,450,,,,,,450.0
543,AJ McCarron,QB73,451,,,,,,451.0
544,Mo Alie-Cox   IND (7),TE84,452,,,,,,452.0
545,KeeSean Johnson,WR166,453,,,,,,453.0
546,DaeSean Hamilton,WR167,454,,,,,,454.0
547,DeAndre Carter,WR168,456,,,,,,456.0
548,Ed Dickson,TE85,457,,,,,,457.0
549,Khalfani Muhammad,RB138,458,,,,,,458.0
550,Ventell Bryant,WR169,459,,,,,,459.0
551,Gabe Davis,WR170,461,,,,,,461.0
552,Will Grier,QB74,462,,,,,,462.0
553,Trenton Irwin   SF (11),WR171,464,,,,,,464.0
554,Kapri Bibbs,RB139,466,,,,,,466.0
555,Elijhaa Penny,RB140,467,,,,,,467.0
556,Collin Johnson,WR172,468,,,,,,468.0
557,Michael Burton   CLE (9),RB141,470,,,,,,470.0
558,Rod Smith,RB142,471,,,,,,471.0
559,John Ursua,WR173,474,,,,,,474.0
560,John Hightower,WR174,475,,,,,,475.0
561,Dalyn Dawkins,RB143,476,,,,,,476.0
562,Darius Jackson,RB144,477,,,,,,477.0
563,Dwayne Washington,RB145,478,,,,,,478.0
564,Freddie Swain,WR175,480,,,,,,480.0
565,Maxx Williams,TE86,481,,,,,,481.0
566,Wendell Smallwood,RB146,482,,,,,,482.0
567,Jaron Brown,WR176,483,,,,,,483.0
568,Josh McCown,QB75,484,,,,,,484.0
569,Drew Stanton,QB76,485,,,,,,485.0
570,Andrew Beck   NYJ (10),TE87,486,,,,,,486.0
571,Jason Huntley,RB147,488,,,,,,488.0
572,Demaryius Thomas,WR177,489,,,,,,489.0
573,Alex Barnes,RB148,490,,,,,,490.0
574,Braxton Berrios   NYG (11),WR178,491,,,,,,491.0
575,Isaiah Crowell,RB149,492,,,,,,492.0
576,Dexter Williams,RB150,493,,,,,,493.0
577,Roosevelt Nix,RB151,494,,,,,,494.0
578,Marquez Callaway,WR179,495,,,,,,495.0
579,Jaydon Mickens,WR180,496,,,,,,496.0
580,D.J. Foster,RB152,497,,,,,,497.0
581,Raymond Calais,RB153,498,,,,,,498.0
582,Trenton Cannon,RB154,499,,,,,,499.0
583,Brian Hoyer,QB77,500,,,,,,500.0
